customer_id,first_name,last_name,email,city,country,phone,reg_date,acquisition_channel
32,Courtney,Hill,Courtney.Hill434@gmail.com,South Rickside,Lao People's Democratic Republic,001-443-545-5812x236,2024-02-16,social_media
33,Robert,Clark,Robert.Clark409@yahoo.com,West Ryan,Antarctica (the territory South of 60 deg S),(590)996-7054x6688,2025-06-16,email
34,Paul,Caldwell,Paul.Caldwell124@yahoo.com,North Jorge,Greece,001-427-929-8069x9016,2023-02-13,referral
35,Jason,Murphy,,Port Andrew,Cape Verde,264-517-0805x310,2023-05-01,organic_search
36,John,Wells,John.Wells928@gmail.com,South Holly,Seychelles,Unknown,2025-11-18,social_media
37,Miguel,Obrien,Miguel.Obrien686@hotmail.com,Lake Kendraville,South Africa,001-312-541-9049x663,2025-08-26,email
38,Tonya,Patton,Tonya.Patton827@yahoo.com,Cynthiamouth,Russian Federation,+1-365-818-5067,2025-01-06,email
39,Eric,Thompson,Eric.Thompson421@hotmail.com,Hudsonfurt,Guadeloupe,+1-949-587-7694x5314,2023-07-21,email
40,Anthony,Rosales,Anthony.Rosales746@gmail.com,Petersbury,Portugal,535.845.4948x0831,2024-05-24,paid_search
41,Thomas,Joseph,Thomas.Joseph550@yahoo.com,Barajasside,Greenland,9147363495,2024-07-24,paid_search
42,Michael,Chavez,Michael.Chavez896@yahoo.com,West Jeremy,Christmas Island,631-335-1823x374,2023-07-20,direct
43,Kevin,Erickson,Kevin.Erickson554@gmail.com,Jackton,El Salvador,900-984-2710x947,2024-04-29,email
44,Shelley,Woods,Shelley.Woods498@gmail.com,Hayesmouth,French Southern Territories,(871)590-2294x1318,2023-05-01,email
45,Michelle,Branch,Michelle.Branch3@yahoo.com,New Charles,Afghanistan,001-490-591-3341,2025-07-20,email
46,Ricky,Norris,Ricky.Norris714@yahoo.com,Margaretland,Bahamas,503-444-7134x9361,2025-09-23,paid_search
47,Gabriel,Parker,Gabriel.Parker304@hotmail.com,New Billchester,Saint Pierre and Miquelon,001-947-917-4648,2023-05-05,social_media
48,Marcus,Wright,Marcus.Wright59@gmail.com,Lake Mary,Morocco,Unknown,2025-12-23,organic_search
49,Brenda,Smith,Brenda.Smith984@hotmail.com,Rickymouth,Paraguay,390-927-8742x967,2023-05-21,organic_search
50,Daniel,Martin,Daniel.Martin692@yahoo.com,Gutierrezborough,Maldives,001-874-268-0715x451,2024-05-19,referral
51,Michael,Avila,Michael.Avila41@hotmail.com,Andreaside,Ireland,503.448.2477x109,2025-06-12,social_media
52,Christopher,Gay,Christopher.Gay210@gmail.com,New William,Turkmenistan,412.874.8467x737,2024-06-27,paid_search
53,Derek,Jones,Derek.Jones688@yahoo.com,Cantuborough,Qatar,784-804-4997x27875,2023-05-29,email
54,John,Reyes,John.Reyes637@yahoo.com,Garciamouth,American Samoa,7573662702,2023-05-31,paid_search
55,Jennifer,Ortiz,Jennifer.Ortiz519@hotmail.com,Brennanton,Niger,(817)745-9615,2023-05-21,social_media
56,Casey,Welch,Casey.Welch292@yahoo.com,West Michaelchester,Cameroon,216.711.7240,2024-09-11,direct
57,John,Jenkins,John.Jenkins542@hotmail.com,East Gregory,New Zealand,Unknown,2024-09-05,organic_search
58,Monica,Harvey,Monica.Harvey962@gmail.com,Vanessaport,Northern Mariana Islands,392.937.4740x7482,2023-08-08,referral
59,Suzanne,Vaughn,Suzanne.Vaughn160@yahoo.com,New Michelleton,United States Minor Outlying Islands,836-671-3695x9440,2024-12-03,direct
60,Catherine,Crawford,Catherine.Crawford650@yahoo.com,West Markchester,China,001-739-453-3942x10470,2024-05-29,organic_search
61,James,Buchanan,James.Buchanan650@yahoo.com,Smithside,British Virgin Islands,784.324.7451x71236,2023-08-01,paid_search
62,Shawn,Chambers,Shawn.Chambers653@hotmail.com,Blankenshipport,Pakistan,596-351-3709x859,2025-06-23,direct
63,Ricky,Taylor,Ricky.Taylor438@gmail.com,Port Tracychester,Wallis and Futuna,471-813-8267x5869,2023-11-02,organic_search
64,Stephanie,Johnson,Stephanie.Johnson855@yahoo.com,Jamesville,Yemen,277.835.1585,2025-05-30,organic_search
65,Melanie,Gibson,Melanie.Gibson316@hotmail.com,Port Molly,Greenland,390.505.3293,2023-03-23,paid_search
66,Kim,Kramer,Kim.Kramer699@hotmail.com,Kristybury,Namibia,4422284210,2025-04-12,direct
67,Mario,Thompson,Mario.Thompson159@gmail.com,New Bradley,Slovenia,(368)911-7758,2023-11-29,email
68,Regina,Hopkins,Regina.Hopkins26@yahoo.com,West Claudia,Myanmar,400.376.6177x115,2025-04-23,direct
69,Amy,Nguyen,Amy.Nguyen831@hotmail.com,Perryville,Germany,747.989.6118x36736,2023-10-08,organic_search
70,Ronald,Ortega,Ronald.Ortega880@yahoo.com,Elizabethchester,Guinea,(471)211-1615,2025-07-31,social_media
71,Morgan,Pugh,Morgan.Pugh841@yahoo.com,Dannyview,Montserrat,001-304-794-5198x3273,2023-02-18,paid_search
72,Jeremy,Patterson,Jeremy.Patterson409@hotmail.com,Jonestown,Bermuda,001-499-480-9402x44550,2024-07-25,direct
73,Julie,Lewis,Julie.Lewis522@yahoo.com,Scottchester,Libyan Arab Jamahiriya,252.354.5991x022,2024-11-09,organic_search
74,Catherine,Perry,Catherine.Perry899@gmail.com,West Sierra,Seychelles,001-281-256-1497x84036,2024-06-27,organic_search
75,Derrick,Scott,Derrick.Scott611@yahoo.com,Hensleyton,Jordan,707-362-2683,2024-04-10,referral
76,Andrew,Morse,Andrew.Morse524@yahoo.com,Berrychester,French Guiana,Unknown,2024-01-25,organic_search
77,Darius,Smith,Darius.Smith726@yahoo.com,Harrellmouth,Cyprus,(897)351-6136,2024-08-02,email
78,Mason,Jackson,Mason.Jackson72@hotmail.com,East Stephaniefort,Kyrgyz Republic,+1-418-483-5523x1243,2024-10-04,organic_search
79,Karen,Wolf,Karen.Wolf738@yahoo.com,Steventon,Azerbaijan,+1-799-355-2717x74490,2025-04-16,email
80,Miguel,Mitchell,Miguel.Mitchell714@hotmail.com,Cassidyhaven,Canada,999-586-7980,2025-05-11,email
81,Susan,Hayes,Susan.Hayes694@yahoo.com,Paulmouth,Philippines,001-718-720-3778x892,2024-08-09,referral
82,Carla,Mccormick,Carla.Mccormick854@hotmail.com,Cameronville,Moldova,Unknown,2025-05-30,referral
83,Erika,Mitchell,Erika.Mitchell671@hotmail.com,Lake Jacqueline,Yemen,+1-892-751-9254x62914,2024-03-13,email
84,Joanne,Jennings,Joanne.Jennings813@hotmail.com,East Zoe,Cape Verde,768-950-5423,2023-12-14,organic_search
85,Chris,Richard,Chris.Richard291@gmail.com,Diazbury,Kenya,988.205.9296x22292,2024-11-17,paid_search
86,Cheryl,Goodwin,Cheryl.Goodwin689@yahoo.com,Shawchester,Central African Republic,983.647.3597,2023-10-29,organic_search
87,Lisa,Solis,Lisa.Solis251@gmail.com,Davisbury,Svalbard & Jan Mayen Islands,907-458-1814x124,2023-05-30,email
88,Shannon,Bailey,Shannon.Bailey908@gmail.com,West Samanthafort,Qatar,(406)485-3615x30515,2025-02-25,email
89,Mariah,Blake,Mariah.Blake250@yahoo.com,West David,Dominican Republic,390.610.4328x986,2023-07-08,paid_search
90,Robert,Bauer,Robert.Bauer181@yahoo.com,Smithstad,Dominican Republic,417-698-0893,2025-08-09,referral
91,Ashley,Lopez,Ashley.Lopez256@hotmail.com,Williamsfurt,Holy See (Vatican City State),285-818-8888,2023-01-10,direct
92,Jon,Smith,Jon.Smith544@gmail.com,North Jennifer,Western Sahara,(931)495-2058x527,2025-06-25,direct
93,Stephen,Carter,Stephen.Carter914@gmail.com,Michaelton,Tonga,205.548.6874,2025-07-02,direct
94,Diana,Nelson,Diana.Nelson883@yahoo.com,Manuelland,Greece,(867)465-2775x84161,2024-05-21,social_media
95,Donna,Parker,Donna.Parker785@hotmail.com,Williamburgh,Zambia,001-362-875-7059x640,2024-04-05,email
96,Anthony,Allison,Anthony.Allison80@hotmail.com,Scottland,Montserrat,902.713.5569x092,2024-11-18,referral
97,Devin,Richardson,Devin.Richardson83@yahoo.com,Heatherfort,Cook Islands,+1-943-510-2786x8144,2023-11-09,paid_search
98,David,Farrell,David.Farrell66@yahoo.com,Port Michael,Czech Republic,(671)455-1884,2025-12-08,organic_search
99,David,Harris,David.Harris212@gmail.com,West Raymondfort,Malta,470.358.9578,2023-02-10,email
100,Robert,Ortiz,Robert.Ortiz489@hotmail.com,East Teresaland,Korea,Unknown,2025-09-03,referral
